patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_02,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_03,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_04,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_05,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_06,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_07,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,1
patch_08,NA,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_09,NA,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_10,NA,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_11,NA,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_12,NA,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_13,NA,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,4,5,8,NA,NA,8,0
patch_14,8,8,0,0,0,NA,NA,8,8,8,0,NA,NA,NA,8,8,7,0,8,NA,NA,8,0
patch_15,8,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,7,5,8,NA,NA,8,0
patch_16,8,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,7,5,8,NA,NA,8,0
patch_17,8,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,7,5,8,NA,NA,8,0
patch_18,8,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_19,8,8,0,0,0,NA,NA,8,8,8,2,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_20,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,4,8,6.088068182,5,8,NA,NA,8,0
patch_21,NA,NA,0,NA,NA,NA,NA,8,8,8,1,NA,NA,NA,4,8,6.088068182,3,8,NA,NA,8,0
patch_22,NA,NA,0,NA,NA,NA,NA,8,8,8,1,NA,NA,NA,4,8,6.088068182,5,8,NA,NA,8,0
patch_23,NA,NA,NA,NA,NA,NA,NA,8,8,8,1,NA,NA,NA,4,8,6.088068182,5,8,NA,NA,8,0
patch_24,NA,NA,NA,NA,NA,NA,NA,8,8,8,1,NA,NA,NA,4,8,2,5,8,NA,NA,8,0
patch_25,NA,NA,NA,0,NA,NA,NA,8,8,8,1,NA,NA,NA,4,8,6.088068182,5,8,NA,NA,8,0
patch_26,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_27,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_28,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_29,8,8,0,0,0,NA,NA,8,8,8,8,NA,NA,NA,8,8,6.088068182,5,8,NA,NA,8,0
patch_30,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,4,8,1,3,8,NA,NA,1,0
patch_31,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,4,8,6,3,8,NA,NA,1,0
patch_32,8,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,4,8,6,3,8,NA,NA,1,0
patch_33,0,8,0,0,0,NA,NA,8,8,8,1,NA,NA,NA,4,8,6,3,8,NA,NA,1,0
