patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23,,,,,,,,,,,,,,,,,,,,,,,,
patch_01,NA,11:21:00,10:23:48,10:14:48,10:21:00,NA,NA,10:43:48,10:41:27,10:30:00,10:30:00,NA,NA,NA,10:14:48,09:20:48,10:38:36,10:22:53,10:14:06,NA,NA,10:20:32,10:38:00,,,,,,,,,,,,,,,,,,,,,,,,
patch_02,NA,11:42:00,10:32:24,10:23:24,10:29:36,NA,NA,10:53:12,10:50:51,10:39:24,10:39:24,NA,NA,NA,10:23:24,09:29:24,10:50:36,10:41:46,10:28:35,NA,NA,10:20:32,10:55:07,,,,,,,,,,,,,,,,,,,,,,,,
patch_03,NA,11:43:08,10:32:38,10:23:38,10:29:50,NA,NA,10:53:26,10:51:05,10:39:38,10:39:38,NA,NA,NA,10:23:38,09:29:38,10:51:16,10:46:37,10:31:35,NA,NA,10:36:38,10:56:41,,,,,,,,,,,,,,,,,,,,,,,,
patch_04,NA,11:44:06,10:32:53,10:23:53,10:30:05,NA,NA,10:53:41,10:51:20,10:39:53,10:39:53,NA,NA,NA,10:23:53,09:29:53,10:51:56,10:47:24,10:31:49,NA,NA,10:37:29,10:56:56,,,,,,,,,,,,,,,,,,,,,,,,
patch_05,NA,11:46:30,10:33:36,10:24:36,10:30:48,NA,NA,10:54:24,10:52:03,10:40:36,10:40:36,NA,NA,NA,10:24:36,09:30:36,10:52:36,10:47:55,10:32:02,NA,NA,10:38:24,10:57:29,,,,,,,,,,,,,,,,,,,,,,,,
patch_06,NA,11:48:22,10:33:44,10:24:44,10:30:56,NA,NA,10:54:32,10:52:11,10:40:44,10:40:44,NA,NA,NA,10:24:44,09:30:44,10:53:16,10:48:00,10:32:17,NA,NA,10:38:50,10:58:46,,,,,,,,,,,,,,,,,,,,,,,,
patch_07,NA,11:48:37,10:33:51,10:24:51,10:31:03,NA,NA,10:54:39,10:52:18,10:40:51,10:40:51,NA,NA,NA,10:24:51,09:30:51,10:53:56,10:48:23,10:32:37,NA,NA,10:39:13,10:59:36,,,,,,,,,,,,,,,,,,,,,,,,
patch_08,NA,11:48:49,10:34:24,10:25:24,10:31:36,NA,NA,10:55:12,10:52:51,10:41:24,10:41:24,NA,NA,NA,10:25:24,09:31:24,10:54:36,10:49:08,10:33:55,NA,NA,10:39:18,11:00:14,,,,,,,,,,,,,,,,,,,,,,,,
patch_09,NA,11:51:02,10:35:36,10:26:36,10:32:48,NA,NA,10:56:24,10:54:03,11:01:24,11:01:24,NA,NA,NA,10:26:36,09:32:36,10:55:16,10:54:30,10:38:19,NA,NA,10:41:55,11:03:14,,,,,,,,,,,,,,,,,,,,,,,,
patch_10,NA,11:53:36,10:37:51,10:28:51,10:35:03,NA,NA,10:58:39,10:56:18,11:02:36,11:02:36,NA,NA,NA,10:28:51,09:34:51,10:55:56,10:57:05,10:40:55,NA,NA,10:45:44,11:17:32,,,,,,,,,,,,,,,,,,,,,,,,
