patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_02,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_03,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_04,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_05,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_06,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_07,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_08,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_09,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_10,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_11,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_12,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_13,NA,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_14,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_15,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_16,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_17,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_18,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_19,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_20,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_21,NA,NA,169,NA,NA,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_22,NA,NA,169,NA,NA,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_23,NA,NA,NA,NA,NA,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_24,NA,NA,NA,NA,NA,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_25,NA,NA,NA,170,NA,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_26,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_27,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_28,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_29,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_30,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_31,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_32,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
patch_33,167,168,169,170,171,NA,NA,174,175,176,177,NA,NA,NA,181,182,183,184,185,NA,NA,188,189
