patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_02,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_03,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_04,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_05,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_06,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_07,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,220
patch_08,NA,240,240,70,200,NA,NA,240,230,230,270,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_09,NA,240,240,70,200,NA,NA,240,230,230,250,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_10,NA,240,240,70,200,NA,NA,240,230,230,250,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_11,NA,240,240,70,200,NA,NA,240,230,230,250,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_12,NA,240,240,70,200,NA,NA,240,230,230,250,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_13,NA,240,240,70,200,NA,NA,240,230,230,250,NA,NA,NA,250,70,240,220,230,NA,NA,330,230
patch_14,230,240,240,250,250,NA,NA,240,220,230,250,NA,NA,NA,240,70,250,220,230,NA,NA,330,230
patch_15,240,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,80,250,220,230,NA,NA,150,230
patch_16,240,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,80,250,220,230,NA,NA,150,230
patch_17,240,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,80,250,220,230,NA,NA,150,230
patch_18,240,240,240,70,210,NA,NA,250,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,350,230
patch_19,240,240,230,70,210,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,350,230
patch_20,240,240,240,250,270,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,150,230
patch_21,NA,NA,240,NA,NA,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,230,230,NA,NA,150,230
patch_22,NA,NA,230,NA,NA,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,150,230
patch_23,NA,NA,NA,NA,NA,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,150,230
patch_24,NA,NA,NA,NA,NA,NA,NA,240,220,230,250,NA,NA,NA,250,80,250,220,230,NA,NA,150,230
patch_25,NA,NA,NA,250,NA,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,350,230
patch_26,240,240,230,250,210,NA,NA,240,220,230,250,NA,NA,NA,250,80,260,220,230,NA,NA,350,230
patch_27,240,240,240,250,210,NA,NA,240,220,230,250,NA,NA,NA,250,70,260,220,230,NA,NA,350,230
patch_28,240,240,230,70,210,NA,NA,240,220,230,250,NA,NA,NA,250,70,260,220,230,NA,NA,350,230
patch_29,230,240,240,70,210,NA,NA,250,220,230,270,NA,NA,NA,250,80,260,220,230,NA,NA,350,230
patch_30,230,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,60,280,230,230,NA,NA,50,230
patch_31,230,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,60,270,230,230,NA,NA,50,230
patch_32,230,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,60,270,230,230,NA,NA,50,230
patch_33,230,240,240,250,210,NA,NA,250,220,230,250,NA,NA,NA,250,60,270,230,230,NA,NA,50,230
