patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_02,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_03,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_04,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_05,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_06,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_07,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,9
patch_08,NA,29,9,2,9,NA,NA,21,20,13,20,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_09,NA,29,9,2,9,NA,NA,21,20,16,23,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_10,NA,29,9,2,9,NA,NA,21,20,16,23,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_11,NA,29,9,2,9,NA,NA,21,20,16,23,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_12,NA,29,9,2,9,NA,NA,21,20,16,23,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_13,NA,29,9,2,9,NA,NA,22,20,16,23,NA,NA,NA,14,5,11,11,24,NA,NA,9,10
patch_14,18,26,13,9,8,NA,NA,22,23,20,25,NA,NA,NA,13,8,13,13,25,NA,NA,9,10
patch_15,18,26,13,4,6,NA,NA,22,23,16,23,NA,NA,NA,14,5,13,11,25,NA,NA,7,11
patch_16,18,26,13,4,6,NA,NA,22,23,16,23,NA,NA,NA,14,5,13,17,25,NA,NA,7,11
patch_17,18,26,13,4,6,NA,NA,22,23,16,23,NA,NA,NA,14,5,13,17,25,NA,NA,7,10
patch_18,18,26,13,2,6,NA,NA,22,23,13,23,NA,NA,NA,14,5,13,17,25,NA,NA,8,10
patch_19,18,23,11,2,6,NA,NA,22,23,16,23,NA,NA,NA,14,7,13,17,26,NA,NA,8,11
patch_20,18,26,13,9,3,NA,NA,21,23,16,21,NA,NA,NA,13,5,13,17,26,NA,NA,7,11
patch_21,NA,NA,13,NA,NA,NA,NA,21,23,16,15,NA,NA,NA,13,7,13,16,26,NA,NA,7,11
patch_22,NA,NA,11,NA,NA,NA,NA,21,23,16,15,NA,NA,NA,13,7,13,17,26,NA,NA,7,11
patch_23,NA,NA,NA,NA,NA,NA,NA,21,23,16,15,NA,NA,NA,13,7,13,17,26,NA,NA,7,11
patch_24,NA,NA,NA,NA,NA,NA,NA,21,23,14,15,NA,NA,NA,13,7,13,17,26,NA,NA,7,11
patch_25,NA,NA,NA,4,NA,NA,NA,21,23,16,15,NA,NA,NA,13,7,13,17,25,NA,NA,8,11
patch_26,17,26,11,4,6,NA,NA,21,23,16,21,NA,NA,NA,13,7,13,17,25,NA,NA,8,11
patch_27,17,26,13,9,6,NA,NA,21,23,16,21,NA,NA,NA,14,8,13,17,26,NA,NA,8,10
patch_28,17,26,11,2,6,NA,NA,21,23,16,21,NA,NA,NA,14,8,13,17,25,NA,NA,8,10
patch_29,20,26,13,2,6,NA,NA,22,23,20,20,NA,NA,NA,14,5,13,17,26,NA,NA,8,10
patch_30,20,26,14,9,6,NA,NA,18,23,20,15,NA,NA,NA,13,6,8,16,26,NA,NA,7,11
patch_31,20,26,14,9,6,NA,NA,18,23,16,15,NA,NA,NA,13,6,9,16,26,NA,NA,7,11
patch_32,20,29,14,9,6,NA,NA,18,23,16,15,NA,NA,NA,13,6,9,16,26,NA,NA,7,11
patch_33,23,29,14,9,6,NA,NA,18,23,16,15,NA,NA,NA,13,6,9,16,26,NA,NA,7,11
