"easting","northing"
444952.9538,5886428.442
445263.1,5886569
445290.06,5886580
445301.7265,5886590.232
445313.9689,5886595.994
445329.718,5886592.929
445339.43,5886590
445356.28,5886577
445302.69,5886514
445151.47,5886399
445116.59,5886392
445075.18,5886400
445049.09,5886401
444836.41,5886238
444811.96,5886184
444809.71,5886181
444811.33,5886176
444804,5886166
444823.8934,5886153.783
444829,5886159
444845.35,5886143
444845.96,5886138
444848.53,5886128
444834.02,5886130
444826.79,5886135
444814,5886148
444807.2766,5886142.614
444808.4774,5886149.298
444799.0245,5886155.238
444778.46,5886117
444780.7,5886090
444779.85,5886041
444773.26,5885974
