patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_02,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_03,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_04,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_05,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_06,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_07,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.4
patch_08,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,85.4,75.2,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_09,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,82.2,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_10,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,82.2,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_11,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,82.2,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_12,NA,77.1,73.1,51,55.5,NA,NA,67.2,89.6,82.2,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_13,NA,77.1,73.1,51,55.5,NA,NA,67.1,89.6,82.2,61.7,NA,NA,NA,83.9,81.1,61.3,60.2,78.6,NA,NA,72.1,67.2
patch_14,92.4,78.2,72.3,36,51.5,NA,NA,67.1,92.7,87.9,60,NA,NA,NA,80.3,83.2,59.2,65.1,76.9,NA,NA,72.1,67.2
patch_15,94.8,78.2,72.3,39.4,51.7,NA,NA,65.6,92.7,82.2,61.7,NA,NA,NA,82,80.7,59.2,60.2,76.9,NA,NA,67.1,60.1
patch_16,94.8,78.2,72.3,39.4,51.7,NA,NA,65.6,92.7,82.2,61.7,NA,NA,NA,82,80.7,59.2,68,76.9,NA,NA,67.1,60.1
patch_17,94.8,78.2,72.3,39.4,51.7,NA,NA,65.6,92.7,82.2,61.7,NA,NA,NA,82,80.7,59.2,68,76.9,NA,NA,67.1,67.2
patch_18,94.8,78.2,72.3,51,51.7,NA,NA,65.6,91.3,85.4,61.7,NA,NA,NA,82,80.7,59.4,68,76.9,NA,NA,65,67.2
patch_19,94.8,84.1,71.2,51,51.7,NA,NA,67.1,92.7,79.1,57.8,NA,NA,NA,83.9,81.8,59.4,68,79.8,NA,NA,65,60.1
patch_20,94.8,78.2,72.3,36,58.1,NA,NA,59.5,92.7,79.1,57.8,NA,NA,NA,80.4,80.7,59.4,68,79.8,NA,NA,67.1,60.1
patch_21,NA,NA,72.3,NA,NA,NA,NA,59.5,92.7,79.1,59.1,NA,NA,NA,80.4,81.8,59.4,63.8,79.8,NA,NA,67.1,60.1
patch_22,NA,NA,71.2,NA,NA,NA,NA,59.5,92.7,79.1,59.1,NA,NA,NA,80.4,81.8,59.4,68,79.8,NA,NA,67.1,60.1
patch_23,NA,NA,NA,NA,NA,NA,NA,59.5,92.7,79.1,57.8,NA,NA,NA,80.4,81.8,59.4,68,79.8,NA,NA,67.1,60.1
patch_24,NA,NA,NA,NA,NA,NA,NA,59.5,92.7,78.9,59.1,NA,NA,NA,80.4,81.8,58.7,68,79.8,NA,NA,67.1,60.1
patch_25,NA,NA,NA,39.4,NA,NA,NA,59.5,92.7,79.1,59.1,NA,NA,NA,80.4,81.8,59.4,68,76.9,NA,NA,65,60.1
patch_26,86.4,78.2,71.2,39.4,51.7,NA,NA,59.5,92.7,79.1,57.8,NA,NA,NA,80,81.8,59.4,68,76.9,NA,NA,65,60.1
patch_27,86.4,78.2,72.3,36,51.7,NA,NA,59.5,92.7,79.1,57.8,NA,NA,NA,82,83.2,59.4,68,79.8,NA,NA,65,67.2
patch_28,86.4,78.2,71.2,51,51.7,NA,NA,59.5,92.7,79.1,57.8,NA,NA,NA,82,83.2,59.4,68,76.9,NA,NA,65,67.2
patch_29,75.4,78.2,72.3,51,51.7,NA,NA,65.6,92.7,87.9,60,NA,NA,NA,83.9,80.7,59.4,68,79.8,NA,NA,65,67.2
patch_30,75.4,78.2,64.2,36,51.7,NA,NA,63.1,92.7,87.9,57.8,NA,NA,NA,80.4,83.1,45.8,63.8,79.8,NA,NA,68,62.5
patch_31,75.4,78.2,64.2,36,51.7,NA,NA,63.1,92.7,82.2,57.8,NA,NA,NA,80.4,83.1,53.8,63.8,79.8,NA,NA,68,62.5
patch_32,75.4,77.1,64.2,36,51.7,NA,NA,63.1,92.7,82.2,57.8,NA,NA,NA,80.4,83.1,53.8,63.8,79.8,NA,NA,68,62.5
patch_33,66.9,77.1,64.2,36,51.7,NA,NA,63.1,92.7,82.2,57.8,NA,NA,NA,80.4,83.1,53.8,63.8,79.8,NA,NA,68,62.5
