patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,1,2,2,2,NA,NA,2,2,2,2,NA,NA,NA,1,2,3,2,2,NA,NA,2,2
patch_02,NA,1,1,1,1,NA,NA,2,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,2,1
patch_03,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_04,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_05,NA,2,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_06,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_07,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_08,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_09,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,2
patch_10,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,2
patch_11,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_12,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_13,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_14,2,3,2,3,3,NA,NA,3,3,3,3,NA,NA,NA,3,2,3,3,3,NA,NA,3,3
patch_15,2,2,2,3,2,NA,NA,3,2,3,3,NA,NA,NA,3,2,2,2,3,NA,NA,2,2
patch_16,2,2,2,3,2,NA,NA,3,2,3,3,NA,NA,NA,3,1,2,2,1,NA,NA,2,1
patch_17,2,2,2,3,2,NA,NA,3,2,3,3,NA,NA,NA,3,2,2,2,1,NA,NA,2,1
patch_18,2,2,2,3,1,NA,NA,2,2,3,3,NA,NA,NA,3,2,2,3,2,NA,NA,1,2
patch_19,3,3,3,3,3,NA,NA,3,3,3,3,NA,NA,NA,3,3,3,3,3,NA,NA,3,3
patch_20,1,1,1,2,1,NA,NA,1,1,1,1,NA,NA,NA,2,1,2,2,1,NA,NA,2,2
patch_21,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,2,2,2,1,NA,NA,1,2
patch_22,NA,NA,1,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,2,2,2,2,1,NA,NA,2,2
patch_23,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,2,2,2,2,1,NA,NA,2,2
patch_24,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,2,2,2,2,1,NA,NA,2,2
patch_25,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,2,2,2,3,2,NA,NA,2,2
patch_26,3,3,3,2,3,NA,NA,2,3,3,3,NA,NA,NA,3,1,2,3,2,NA,NA,3,2
patch_27,3,3,2,2,2,NA,NA,1,3,2,1,NA,NA,NA,3,1,2,1,1,NA,NA,1,2
patch_28,1,3,2,2,2,NA,NA,1,3,3,2,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_29,3,3,2,3,3,NA,NA,2,3,3,3,NA,NA,NA,3,2,3,3,2,NA,NA,3,2
patch_30,1,1,1,2,1,NA,NA,2,2,1,2,NA,NA,NA,2,1,1,1,2,NA,NA,1,1
patch_31,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_32,2,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
patch_33,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,1,1
