patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_02,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_03,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_04,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_05,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_06,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_07,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,14.7
patch_08,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,15.2,13.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_09,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,16.2,14.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_10,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,16.2,14.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_11,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,16.2,14.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_12,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,16.2,14.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_13,NA,15.2,17.1,22.6,24.3,NA,NA,14,16.1,16.2,14.5,NA,NA,NA,17.9,15.4,14.6,15.5,15.2,NA,NA,13.4,15.9
patch_14,13.8,15.7,17.4,24.6,25.2,NA,NA,14,15.8,15.3,14.9,NA,NA,NA,19.5,15.8,14.8,15.7,15.8,NA,NA,13.4,15.9
patch_15,13.5,15.7,17.4,24.2,25.4,NA,NA,13.8,15.8,16.2,14.5,NA,NA,NA,18.7,16,14.8,15.5,15.8,NA,NA,14.8,16.1
patch_16,13.5,15.7,17.4,24.2,25.4,NA,NA,13.8,15.8,16.2,14.5,NA,NA,NA,18.7,16,14.8,14.8,15.8,NA,NA,14.8,16.1
patch_17,13.5,15.7,17.4,24.2,25.4,NA,NA,13.8,15.8,16.2,14.5,NA,NA,NA,18.7,16,14.8,14.8,15.8,NA,NA,14.8,15.9
patch_18,13.5,15.7,17.4,22.6,25.4,NA,NA,13.8,15.9,15.2,14.5,NA,NA,NA,18.7,16,16.8,14.8,15.8,NA,NA,13.4,15.9
