patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23
patch_01,NA,12.35,11.39666667,11.24666667,11.35,NA,NA,11.73,11.69083333,11.5,11.5,NA,NA,NA,11.24666667,10.34666667,11.64333333,11.38138889,11.235,NA,NA,11.34222222,11.63333333
patch_02,NA,12.7,11.54,11.39,11.49333333,NA,NA,11.88666667,11.8475,11.65666667,11.65666667,NA,NA,NA,11.39,10.49,11.84333333,11.69611111,11.47638889,NA,NA,11.34222222,11.91861111
patch_03,NA,12.71888889,11.54388889,11.39388889,11.49722222,NA,NA,11.89055556,11.85138889,11.66055556,11.66055556,NA,NA,NA,11.39388889,10.49388889,11.85444444,11.77694444,11.52638889,NA,NA,11.61055556,11.94472222
patch_04,NA,12.735,11.54805556,11.39805556,11.50138889,NA,NA,11.89472222,11.85555556,11.66472222,11.66472222,NA,NA,NA,11.39805556,10.49805556,11.86555556,11.79,11.53027778,NA,NA,11.62472222,11.94888889
patch_05,NA,12.775,11.56,11.41,11.51333333,NA,NA,11.90666667,11.8675,11.67666667,11.67666667,NA,NA,NA,11.41,10.51,11.87666667,11.79861111,11.53388889,NA,NA,11.64,11.95805556
patch_06,NA,12.80611111,11.56222222,11.41222222,11.51555556,NA,NA,11.90888889,11.86972222,11.67888889,11.67888889,NA,NA,NA,11.41222222,10.51222222,11.88777778,11.8,11.53805556,NA,NA,11.64722222,11.97944444
patch_07,NA,12.81027778,11.56416667,11.41416667,11.5175,NA,NA,11.91083333,11.87166667,11.68083333,11.68083333,NA,NA,NA,11.41416667,10.51416667,11.89888889,11.80638889,11.54361111,NA,NA,11.65361111,11.99333333
patch_08,NA,12.81361111,11.57333333,11.42333333,11.52666667,NA,NA,11.92,11.88083333,11.69,11.69,NA,NA,NA,11.42333333,10.52333333,11.91,11.81888889,11.56527778,NA,NA,11.655,12.00388889
patch_09,NA,12.85055556,11.59333333,11.44333333,11.54666667,NA,NA,11.94,11.90083333,12.02333333,12.02333333,NA,NA,NA,11.44333333,10.54333333,11.92111111,11.90833333,11.63861111,NA,NA,11.69861111,12.05388889
patch_10,NA,12.89333333,11.63083333,11.48083333,11.58416667,NA,NA,11.9775,11.93833333,12.04333333,12.04333333,NA,NA,NA,11.48083333,10.58083333,11.93222222,11.95138889,11.68194444,NA,NA,11.76222222,12.29222222
patch_11,NA,12.91638889,11.63916667,11.48916667,11.5925,NA,NA,11.98583333,11.94666667,12.08083333,12.08083333,NA,NA,NA,11.48916667,10.58916667,11.94277778,11.96194444,11.69444444,NA,NA,11.78,12.39333333
patch_12,NA,12.91666667,11.65111111,11.50111111,11.60444444,NA,NA,11.99777778,11.95861111,12.08916667,12.08916667,NA,NA,NA,11.50111111,10.60111111,11.95527778,11.96861111,11.40555556,NA,NA,11.81555556,12.45861111
patch_13,NA,12.92222222,11.65333333,11.50333333,11.60666667,NA,NA,12,11.96083333,12.10111111,12.10111111,NA,NA,NA,11.50333333,10.60333333,11.965,11.97777778,11.72583333,NA,NA,11.82583333,12.53555556
patch_14,11.97666667,11.39083333,13.76777778,13.05944444,12.23722222,NA,NA,12.23333333,12.95555556,13.02666667,13.00666667,NA,NA,NA,13.06027778,12.18222222,12.12333333,12.34944444,12.085,NA,NA,11.96722222,12.68333333
patch_15,12.10277778,11.5,13.63722222,12.58055556,13.13027778,NA,NA,13.41083333,12.87416667,12.15944444,12.48277778,NA,NA,NA,12.69944444,11.83611111,12.69944444,11.69944444,12.32916667,NA,NA,13.63555556,13.14166667
patch_16,12.45472222,11.53916667,13.71,12.81638889,13.46666667,NA,NA,13.57666667,12.85916667,12.31944444,12.47333333,NA,NA,NA,12.84583333,11.93416667,12.73805556,13.02583333,12.34277778,NA,NA,13.6,13.80055556
patch_17,12.61083333,11.55277778,13.61611111,12.07305556,13.15722222,NA,NA,13.27555556,12.81722222,12.47638889,12.44833333,NA,NA,NA,12.68305556,11.73638889,12.78638889,13.03083333,12.40638889,NA,NA,13.61666667,12.71972222
patch_18,12.58888889,11.7525,13.55583333,11.84611111,13.18694444,NA,NA,13.75888889,13.32444444,11.78527778,12.04388889,NA,NA,NA,12.2575,11.57527778,13.20222222,13.46666667,12.47583333,NA,NA,12.53166667,12.20555556
patch_19,12.53083333,10.91666667,12.91972222,11.91944444,13.28,NA,NA,12.86277778,12.69833333,14.03666667,12.35972222,NA,NA,NA,11.81555556,13.47888889,13.2825,13.91416667,13.18111111,NA,NA,12.55527778,13.38805556
patch_20,12.65388889,11,13,13.60916667,16,NA,NA,14.77861111,12.77805556,14.09972222,14.91361111,NA,NA,NA,15.44194444,11.53527778,13.29555556,13.96166667,13.14277778,NA,NA,13.51666667,13.48333333
patch_21,NA,NA,13.11722222,NA,NA,NA,NA,14.52416667,12.73333333,14.72083333,15.09694444,NA,NA,NA,15.02722222,13.67861111,13.31611111,14,13.07916667,NA,NA,13.17555556,13.7
patch_22,NA,NA,12.27638889,NA,NA,NA,NA,14.61,12.74194444,14.74444444,15.11722222,NA,NA,NA,15.10777778,13.73027778,13.32111111,13.76861111,13.06388889,NA,NA,13.21166667,13.71666667
patch_23,NA,NA,NA,NA,NA,NA,NA,14.59583333,12.75,14.78,15.14305556,NA,NA,NA,15.11666667,13.75,13,13.8,13.1,NA,NA,13.31611111,13.73333333
patch_24,NA,NA,NA,NA,NA,NA,NA,14.41944444,12.49277778,15.28222222,15.16166667,NA,NA,NA,15.15305556,13.77333333,14.42972222,13.82805556,13.82805556,NA,NA,13.37666667,13.66305556
patch_25,NA,NA,NA,12.27805556,NA,NA,NA,14.39666667,12.48527778,14.91638889,15.51888889,NA,NA,NA,15.30916667,13.13416667,13.95472222,13.85777778,12.89944444,NA,NA,12.9925,13.64666667
patch_26,13.18305556,11.16666667,12.2925,12.35583333,13.37638889,NA,NA,14.11611111,12.25,14.38388889,14.28916667,NA,NA,NA,14.17888889,13.07972222,13.85861111,13.40416667,12.68055556,NA,NA,12.68972222,13.56111111
patch_27,13.73138889,11.25,13.2975,13.71,13.4,NA,NA,14.25388889,12.33333333,14.3475,14.60083333,NA,NA,NA,12.5,12.51305556,13.21666667,13.49666667,13.49666667,NA,NA,12.65361111,12.80972222
patch_28,13.93611111,11.33333333,12.63527778,11.87361111,13.44888889,NA,NA,14.2475,12.41666667,14.82027778,14.67222222,NA,NA,NA,12.57166667,12.61166667,13.25361111,13.5,12.77027778,NA,NA,12.06777778,12.83916667
patch_29,14.00583333,11.08138889,13.26055556,11.81055556,13.24194444,NA,NA,13.89694444,12.07416667,13.28416667,11.93527778,NA,NA,NA,11.86833333,11.6725,13.4975,13.27027778,13.59055556,NA,NA,12.06111111,12.34972222
patch_30,14.72194444,11.99027778,14.07305556,13.81055556,13.53861111,NA,NA,15.37305556,12.085,13.02666667,15.43472222,NA,NA,NA,15.86638889,14.21444444,16.23222222,14.22333333,13.93333333,NA,NA,14.04805556,14.30277778
patch_31,14.79194444,11.9975,14.08,13.84916667,13.54722222,NA,NA,15.38444444,12.21888889,12.15944444,15.44611111,NA,NA,NA,15.87,14.25416667,15.73333333,14.24111111,13.95,NA,NA,14.07166667,14.31472222
